network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
SF-2,BC,LN,0.9,0.9593193830859774,0.5299999999999999,0.5652474976004388,0.5470565774121017,65,7110,52,271
SF-2,BC,GN,,0.9516873079186742,0.40555555555555556,0.38092379736057896,0.39285395526301864,52,7064,98,284
SF-2,BC,GN,1.0,0.9572243401148971,0.40555555555555556,0.4774504816171483,0.4385761527576923,52,7106,56,284
SF-2,BC,GN,0.65,0.9532434737933322,0.5866666666666666,0.44089104534756707,0.503438545422851,85,7048,114,251
SF-2,BC,GN,0.9,0.9569629541897735,0.5133333333333333,0.47735969076548784,0.49469338190307877,64,7093,69,272
SF-2,BC,LV,,0.9590769762131117,0.46111111111111114,0.5345894845894846,0.49513910565440067,57,7115,47,279
SF-2,BC,LV,1.0,0.9589303916338096,0.46111111111111114,0.5337477337477338,0.4947777502975816,57,7114,48,279
SF-2,BC,LV,0.7,0.9537884975889581,0.6155555555555556,0.4313577248079425,0.5072524131991923,71,7064,98,265
SF-2,BC,LV,0.9,0.9572667767865364,0.46222222222222226,0.4861198986198986,0.47386995656589215,58,7101,61,278
SF-2,BC,CNM,,0.9560347858124802,0.4311111111111111,0.40580808080808084,0.4180770958635903,35,7111,51,301
SF-2,BC,CNM,1.0,0.9556414726977525,0.4311111111111111,0.3946538029871363,0.41207766667055823,35,7108,54,301
SF-2,BC,CNM,0.95,0.9539869980152835,0.4311111111111111,0.3538785288785289,0.3886954884785523,35,7096,66,301
SF-2,BC,CNM,0.9,0.9528790670039596,0.4433333333333333,0.33425340092006756,0.3811424960848308,37,7086,76,299
SF-2,BC,LP,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327
SF-2,BC,LP,1.0,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327
SF-2,BC,LP,0.35,0.9634518509774121,0.6800000000000002,0.7257575757575757,0.7021340806208235,66,7138,24,270
SF-2,BC,LP,0.9,0.9598659131125513,0.25888888888888884,1.0,0.4112974404236539,10,7162,0,326
SF-2,BC,IP,,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327
SF-2,BC,IP,1.0,0.9597143290591936,0.20333333333333337,1.0,0.3379501385041552,9,7162,0,327
SF-2,BC,IP,0.35,0.9634518509774121,0.6800000000000002,0.7257575757575757,0.7021340806208235,66,7138,24,270
SF-2,BC,IP,0.9,0.9598659131125513,0.25888888888888884,1.0,0.4112974404236539,10,7162,0,326
SF-2,BC,SRC,,0.8244446263429719,0.39111111111111113,0.1014924346249463,0.16116335019968975,137,6041,1121,199
SF-2,BC,SRC,1.0,0.799501749843006,0.4,0.09106834293664175,0.1483595417974504,145,5847,1315,191
SF-2,BC,SRC,0.8,0.7878818754615794,0.49444444444444435,0.0942865235803093,0.1583726703783786,163,5742,1420,173
SF-2,BC,SRC,0.9,0.7973347491564804,0.4655555555555555,0.09449805470849965,0.157106725329357,155,5821,1341,181
SF-2,BC,WP,,0.8809167129638635,0.20888888888888893,0.027522719257358212,0.04863712310872538,14,6574,588,322
SF-2,BC,WP,1.0,0.8742772877201771,0.20888888888888893,0.025419096931246325,0.04532297007241583,14,6523,639,322
SF-2,BC,WP,0.05,0.5282210469359878,0.8788888888888889,0.05814351024828176,0.10907133022351638,227,3741,3421,109
SF-2,BC,WP,0.9,0.8619419997106612,0.21000000000000005,0.022833604836271875,0.04118870228366707,15,6430,732,321
SF-2,BC,BLOCD,,0.9559703277236457,0.3672222222222222,0.6691798941798942,0.47421309531912964,16,7128,34,320
SF-2,BC,BLOCD,1.0,0.9569787760721843,0.3672222222222222,0.683068783068783,0.4776543551939637,16,7135,27,320
SF-2,BC,BLOCD,0.45,0.9343661739886093,0.6394444444444445,0.48416959376343127,0.5510781217983889,51,6934,228,285
SF-2,BC,BLOCD,0.9,0.9558596402678882,0.40333333333333327,0.6671516754850088,0.5027338204564239,17,7126,36,319
SW-1,BC,LN,,0.8992919332326791,0.1111111111111111,0.06557239057239056,0.08247313535546026,8,2056,101,163
SW-1,BC,LN,1.0,0.8974846276453048,0.1111111111111111,0.06486013986013986,0.08190749530853295,8,2054,103,163
SW-1,BC,LN,0.6,0.7929980498295826,0.4044444444444445,0.08311670465423865,0.13789486508545648,41,1799,358,130
SW-1,BC,LN,0.9,0.8792365028724698,0.17555555555555558,0.06989247711967234,0.09998053368904754,13,2010,147,158
SW-1,BC,GN,,0.9076050425571347,0.22,0.16216499549832883,0.1867062626346078,15,2072,85,156
SW-1,BC,GN,1.0,0.9111533902684621,0.22,0.16601053267719934,0.18922964063017206,15,2077,80,156
SW-1,BC,GN,0.7,0.8578875790992195,0.31333333333333335,0.14517790144417198,0.1984207685027144,39,1962,195,132
SW-1,BC,GN,0.9,0.8996690586476218,0.25333333333333335,0.16285396702063365,0.1982585161863679,21,2050,107,150
SW-1,BC,LV,,0.9016706666583068,0.15333333333333335,0.07993827160493826,0.10508952985798711,9,2057,100,162
SW-1,BC,LV,1.0,0.8998633610709325,0.15333333333333335,0.07922602089268754,0.10447216720773696,9,2055,102,162
SW-1,BC,LV,0.85,0.8760764376632971,0.2844444444444445,0.10032135076252724,0.14832841816520315,20,1992,165,151
SW-1,BC,LV,0.9,0.8851175352021114,0.22000000000000003,0.08886228390095585,0.12659171078641232,15,2013,144,156
SW-1,BC,CNM,,0.9106194636996876,0.12444444444444445,0.18047538880872216,0.1473118967472956,14,2088,69,157
SW-1,BC,CNM,1.0,0.9085544056423926,0.12444444444444445,0.17677168510501842,0.14606292285413586,14,2085,72,157
SW-1,BC,CNM,0.8,0.8794317009578744,0.368888888888889,0.16187333079916202,0.2250095086810896,28,2016,141,143
SW-1,BC,CNM,0.9,0.894987215993187,0.24222222222222223,0.16093813593813594,0.19338604174834004,19,2055,102,152
SW-1,BC,LP,,0.8631406486875206,0.2555555555555556,0.183253140726259,0.21344772144407634,16,1994,163,155
SW-1,BC,LP,1.0,0.8726692047131436,0.25777777777777783,0.18666009116922927,0.2165289092732041,17,2000,157,154
SW-1,BC,LP,0.65,0.8346871938665485,0.41555555555555557,0.19167999837977348,0.2623485653940413,37,1908,249,134
SW-1,BC,LP,0.9,0.8639423839150698,0.26,0.1815285997303541,0.21379107019892263,18,1983,174,153
SW-1,BC,IP,,0.8650237925997145,0.22000000000000003,0.06780337584935286,0.10365926141648607,15,1976,181,156
SW-1,BC,IP,1.0,0.8598369456573277,0.22000000000000003,0.06603422074436567,0.10157895461567154,15,1968,189,156
SW-1,BC,IP,0.6,0.7545891358465284,0.5,0.07957006799155718,0.1372915414132745,48,1703,454,123
SW-1,BC,IP,0.9,0.8438568765221268,0.288888888888889,0.07597549578061868,0.1203103261433764,22,1930,227,149
SW-1,BC,SRC,,0.8069300098452595,0.09555555555555556,0.04364010475121586,0.059916443441049023,16,1867,290,155
SW-1,BC,SRC,1.0,0.8027462301256079,0.10222222222222223,0.04945009764621235,0.06665552257506827,19,1858,299,152
SW-1,BC,SRC,0.05,0.3891934420142252,0.8066666666666666,0.05726454893478783,0.10693768664264883,129,714,1443,42
SW-1,BC,SRC,0.9,0.7973926462156933,0.18666666666666668,0.057659649038959385,0.0881045863290491,24,1834,323,147
SW-1,BC,WP,,0.8658648519738119,0.08666666666666667,0.03106949411297237,0.0457410785600647,6,1994,163,165
SW-1,BC,WP,1.0,0.869784895382473,0.08666666666666667,0.033185896229374484,0.04799415109780334,6,2002,155,165
SW-1,BC,WP,0.5,0.7417755334406796,0.40222222222222226,0.07054243562379807,0.12003323322367913,46,1670,487,125
SW-1,BC,WP,0.9,0.8621142282827736,0.13333333333333336,0.042773406208086714,0.06476891052092335,9,1975,182,162
SW-1,BC,BLOCD,,0.9089638107538041,0.2377777777777778,0.1645221932587524,0.19448035955558166,15,2073,84,156
SW-1,BC,BLOCD,1.0,0.9090377514921203,0.23888888888888893,0.16599418699875607,0.19587959712670883,15,2072,85,156
SW-1,BC,BLOCD,0.8,0.8765574813580466,0.40888888888888897,0.17535396866505304,0.24544686677009359,34,1997,160,137
SW-1,BC,BLOCD,0.9,0.8876968311808895,0.2811111111111112,0.15849924737953633,0.20270632245388384,21,2030,127,150
SW-2,BC,LN,,0.9152904723100739,0.18555555555555556,0.09056178026766262,0.1217181195781569,15,4339,143,321
SW-2,BC,LN,1.0,0.9152904723100739,0.18555555555555556,0.09056178026766262,0.1217181195781569,15,4339,143,321
SW-2,BC,LN,0.8,0.8885133412264776,0.41777777777777775,0.11932348561846035,0.1856286851502057,41,4213,269,295
SW-2,BC,LN,0.9,0.9017690573617249,0.2555555555555556,0.08443663970483893,0.1269338100687162,20,4281,201,316
SW-2,BC,GN,,0.9186442564936114,0.4211111111111111,0.2565221815221815,0.3188283163174225,35,4373,109,301
SW-2,BC,GN,1.0,0.9240626451646937,0.4211111111111111,0.2720071867130691,0.33052149679650816,35,4383,99,301
SW-2,BC,GN,0.95,0.9208942578761948,0.43333333333333335,0.2529140793846676,0.31940696324847356,37,4364,118,299
SW-2,BC,GN,0.9,0.917862189368376,0.4388888888888889,0.24805379413996542,0.31696401107220096,42,4352,130,294
SW-2,BC,LV,,0.9155772995741476,0.19777777777777777,0.08109668109668108,0.11502753918152862,13,4337,145,323
SW-2,BC,LV,1.0,0.9131780203372162,0.19777777777777777,0.07853257853257853,0.11242429761037552,13,4334,148,323
SW-2,BC,LV,0.65,0.8432861045919942,0.4433333333333333,0.09005297595037602,0.14969820300892392,55,4010,472,281
SW-2,BC,LV,0.9,0.899820158374706,0.2177777777777778,0.08222144008607718,0.11937366127241474,22,4265,217,314
SW-2,BC,CNM,,0.9225910349400118,0.16000000000000003,0.19649587884882,0.17637982642230626,19,4389,93,317
SW-2,BC,CNM,1.0,0.9188748608412864,0.16000000000000003,0.1948752772282184,0.1757239591331871,19,4382,100,317
SW-2,BC,CNM,0.75,0.8817518054724931,0.28888888888888886,0.15598221650278613,0.2025824049518467,41,4240,242,295
SW-2,BC,CNM,0.9,0.9073372314952383,0.17555555555555558,0.17425183030836086,0.17490126345278073,24,4342,140,312
SW-2,BC,LP,,0.8546632363948712,0.37888888888888883,0.10213857193262792,0.1609021238253606,46,4123,359,290
SW-2,BC,LP,1.0,0.8730202991912245,0.33555555555555555,0.10327485737491898,0.15794006577594308,47,4145,337,289
SW-2,BC,LP,0.95,0.8695387377623626,0.34,0.1038521367640478,0.15910580833160182,51,4125,357,285
SW-2,BC,LP,0.9,0.8649625224835211,0.35444444444444445,0.1045987480045451,0.16152922311412024,55,4104,378,281
SW-2,BC,IP,,0.8694893042396602,0.16222222222222224,0.07257179070397461,0.10028157883519219,34,4147,335,302
SW-2,BC,IP,1.0,0.8650843321561131,0.16222222222222224,0.07130174285710528,0.09906244244069674,34,4134,348,302
SW-2,BC,IP,0.75,0.8131787756541945,0.27666666666666667,0.07076347244350689,0.11270118414508207,61,3867,615,275
SW-2,BC,IP,0.9,0.8539441543505093,0.18,0.06792979549769702,0.09863568971240524,41,4061,421,295
SW-2,BC,SRC,,0.8311717194847588,0.2777777777777778,0.07635852981516274,0.11978835421085707,49,3987,495,287
SW-2,BC,SRC,1.0,0.8237818142718801,0.2788888888888889,0.0752948291632416,0.11857626522134164,50,3961,521,286
SW-2,BC,SRC,0.85,0.8038123905293154,0.3144444444444445,0.07239646144053168,0.11769523207651938,64,3832,650,272
SW-2,BC,SRC,0.9,0.812693690550566,0.29888888888888887,0.07393450826418428,0.1185451513739379,59,3885,597,277
SW-2,BC,WP,,0.8792967441116919,0.14333333333333337,0.04966224470604128,0.07376599139572339,13,4221,261,323
SW-2,BC,WP,1.0,0.8842084012003707,0.14333333333333337,0.05047086003050147,0.07465428357157335,13,4231,251,323
SW-2,BC,WP,0.3,0.6516053364614447,0.5911111111111111,0.059668277415196175,0.10839489505300101,130,2957,1525,206
SW-2,BC,WP,0.9,0.8735703840756663,0.17222222222222225,0.05743475925406237,0.08614187827383257,21,4165,317,315
SW-2,BC,BLOCD,,0.9176417586098226,0.3416666666666666,0.1984414203617102,0.25106388980997474,26,4336,146,310
SW-2,BC,BLOCD,1.0,0.9167457012621524,0.3416666666666666,0.20567887245210353,0.2567797112866204,26,4335,147,310
SW-2,BC,BLOCD,0.95,0.9088536467963834,0.34944444444444445,0.18930807559413598,0.24557715405248592,29,4298,184,307
SW-2,BC,BLOCD,0.9,0.8980766329971834,0.35277777777777775,0.17993910219037237,0.23831989934256734,30,4263,219,306
Social,BC,LN,,0.9352675212467741,0.17944408666764022,0.6241213027444911,0.2787449002071522,119,59370,63,4096
Social,BC,LN,1.0,0.9351199724230871,0.17970759127897093,0.5801389242565712,0.2744116517053244,122,59357,76,4093
Social,BC,LN,0.1,0.9338555746011773,0.5595516963541612,0.46461051858484453,0.5076805217494167,679,58729,704,3536
Social,BC,LN,0.9,0.9353432323727853,0.22507076399578965,0.6016451054082238,0.3275919298033471,139,59354,79,4076
Social,BC,LV,,0.9354100626776122,0.22217567133691749,0.6757810426288687,0.33440833948383764,115,59383,50,4100
Social,BC,LV,1.0,0.9354971304859843,0.2220878364664739,0.706032384463757,0.33788985781101444,114,59389,44,4101
Social,BC,LV,0.1,0.9357371892398108,0.5538721159399009,0.49790518073140433,0.5243995983977308,630,58895,538,3585
Social,BC,LV,0.9,0.9356351447146771,0.2448703717447298,0.7106043325265293,0.36422931196676994,127,59385,48,4088
Social,BC,IP,,0.9177931656308509,0.31037970360120304,0.26960255916044645,0.2885576603805006,754,57635,1798,3461
Social,BC,IP,1.0,0.9251861870824835,0.30712981339479106,0.3237471647033318,0.3152196378513652,717,58141,1292,3498
Social,BC,IP,0.05,0.8795305599182585,0.6602075850278522,0.22895424083274213,0.33999958618504367,1695,54270,5163,2520
Social,BC,IP,0.9,0.9242759342751365,0.3134366337379004,0.31985311174603004,0.3166123669337452,744,58057,1376,3471
Social,BC,BLOCD,,0.9340656918719018,0.18312713951193924,0.48503057262115234,0.2658721428400032,59,59353,80,4156
Social,BC,BLOCD,1.0,0.934239258159957,0.18330280925282635,0.5110998284764343,0.2698320233192869,63,59360,73,4152
Social,BC,BLOCD,0.05,0.932266485086988,0.606258966033016,0.375873033618779,0.4640443378328072,185,59113,320,4030
Social,BC,BLOCD,0.9,0.934095736152383,0.2089877523290738,0.5053592405923697,0.2956935294938417,64,59350,83,4151
Social,BC,GN,,0.9770309934419343,0.3059963658388855,0.15240137770835835,0.20346639303555264,54,34221,580,239
Social,BC,GN,1.0,0.9905687753127165,0.30284675953967294,0.32217274878565194,0.3122109684004896,52,34707,94,241
